file_name,condition
afd35d01-4f0f5070,"Clear, Day"
c5e41dc2-537a34c6,"Clear, Day"
067cecc1-d40ce82c,"Clear, Day"
6462a29c-a1f856d9,"Clear, Day"
0a096659-9faad1ad,"Rainy, Day"
3d80b59b-589b6b56,"Cloudy, Day"
95a9f88c-f5aa66e2,"Clear, Day"
4a8785c2-9440b53f,"Rainy, Day"
6dd76b5d-631746ef,"Clear, Day"
1404fa63-f047c348,"Clear, Day"
ba5ab643-993c5f56,"Clear, Day"
2e18977f-00c51b88,"Clear, Day"
7aef9e40-d4dc2ff3,"Clear, Day"
5a93ba50-4ac7faf3,"Clear, Day"
2c578a19-e813925b,"Clear, Day"
41be2b90-ca75061f,"Rainy, Day"
0ac20953-2830f7c0,"Clear, Day"
117f55ba-63d9e745,"Clear, Day"
47378b5a-5ac16cae,"Clear, Day"
28ccfaee-4e19450f,"Clear, Day"
5a46139d-3ba72154,"Clear, Day"
138df911-71d9812a,"Clear, Day"
1c927be0-00a90000,"Clear, Day"
6b13eb0b-bae63032,"Clear, Day"
2e71f7e9-f04463f0,"Rainy, Day"
896a625b-1177730f,"Clear, Day"
0fa741ce-76dbb843,"Clear, Day"
73cf6448-d8b320a4,"Rainy, Day"
5629f41b-00000000,"Clear, Day"
1ed80a81-16585558,"Rainy, Day"
245440db-00000000,"Clear, Day"
198d8f5e-5fc8381a,"Clear, Day"
7bd0ba24-d898ebc4,"Clear, Day"
53a79e2d-798e62c1,"Rainy, Day"
2a052d49-00000000,"Cloudy, Day"
9f29c1d1-1c30004a,"Clear, Day"
a55d1213-bf9f04c8,"Rainy, Day"
5d668902-a0e26f0e,"Cloudy, Night"
4a2f765f-ed327e18,"Clear, Day"
364e440d-00000000,"Clear, Day"
402df604-7e770a4b,"Rainy, Day"
395a43ff-a949613d,"Clear, Day"
24417546-2c0b8ef2,"Rainy, Day"
1aa52fcf-fc40f0d1,"Clear, Day"
16b8b1ad-040b953a,"Clear, Day"
6c34563a-02aa79c3,"Clear, Day"
0cd3378c-e94d1795,"Rainy, Day"
56d9d586-af9eaddb,"Clear, Day"
3c716b87-6581720c,"Cloudy, Day"
7e5568e2-d66c43ff,"Rainy, Day"
1b263aea-3e632fb4,"Clear, Day"
27f504cb-4d5d1e4c,"Rainy, Day"
6be5f745-f79e54e5,"Clear, Day"
