image_index,context_name,context_frame,camera_id,condition
0,10017090168044687777_6380_000_6400_000,1550083469645130,0,"Day,Rain,Bad lighting"
1,10017090168044687777_6380_000_6400_000,1550083469645130,1,"Day,Snow,Bad lighting"
2,10017090168044687777_6380_000_6400_000,1550083469645130,2,"Day,Rain,Bad lighting"
3,10017090168044687777_6380_000_6400_000,1550083470045260,0,"Day,Snow,Bad lighting"
4,10017090168044687777_6380_000_6400_000,1550083470045260,1,"Day,Snow,Bad lighting"
5,10017090168044687777_6380_000_6400_000,1550083470045260,2,"Day,Clear,Bad lighting"
6,10017090168044687777_6380_000_6400_000,1550083470245288,0,"Day,Rain,Bad lighting"
7,10017090168044687777_6380_000_6400_000,1550083470245288,1,"Day,Clear,Bad lighting"
8,10017090168044687777_6380_000_6400_000,1550083470245288,2,"Day,Clear,Bad lighting"
9,10017090168044687777_6380_000_6400_000,1550083470445324,0,"Day,Rain,Bad lighting"
10,10017090168044687777_6380_000_6400_000,1550083470445324,1,"Day,Snow,Bad lighting"
11,10017090168044687777_6380_000_6400_000,1550083470445324,2,"Day,Clear,Bad lighting"
12,10017090168044687777_6380_000_6400_000,1550083470845389,0,"Day,Rain,Bad lighting"
13,10017090168044687777_6380_000_6400_000,1550083470845389,1,"Day,Snow,Bad lighting"
14,10017090168044687777_6380_000_6400_000,1550083470845389,2,"Day,Clear,Bad lighting"
15,10017090168044687777_6380_000_6400_000,1550083474648906,0,"Day,Clear,Bad lighting"
16,10017090168044687777_6380_000_6400_000,1550083474648906,1,"Day,Clear,Bad lighting"
17,10017090168044687777_6380_000_6400_000,1550083474648906,2,"Day,Clear,Bad lighting"
18,10017090168044687777_6380_000_6400_000,1550083475049006,0,"Day,Rain,Bad lighting"
19,10017090168044687777_6380_000_6400_000,1550083475049006,1,"Day,Rain,Bad lighting"
20,10017090168044687777_6380_000_6400_000,1550083475049006,2,"Day,Clear,Bad lighting"
21,10017090168044687777_6380_000_6400_000,1550083475249048,0,"Day,Rain,Bad lighting"
22,10017090168044687777_6380_000_6400_000,1550083475249048,1,"Day,Rain,Bad lighting"
23,10017090168044687777_6380_000_6400_000,1550083475249048,2,"Day,Clear,Bad lighting"
24,10017090168044687777_6380_000_6400_000,1550083475449087,0,"Day,Rain,Bad lighting"
25,10017090168044687777_6380_000_6400_000,1550083475449087,1,"Day,Rain,Bad lighting"
26,10017090168044687777_6380_000_6400_000,1550083475449087,2,"Day,Clear,Bad lighting"
27,10017090168044687777_6380_000_6400_000,1550083475849035,0,"Day,Rain,Bad lighting"
28,10017090168044687777_6380_000_6400_000,1550083475849035,1,"Day,Rain,Bad lighting"
29,10017090168044687777_6380_000_6400_000,1550083475849035,2,"Day,Clear,Bad lighting"
30,10017090168044687777_6380_000_6400_000,1550083479648989,0,"Day,Rain,Bad lighting"
31,10017090168044687777_6380_000_6400_000,1550083479648989,1,"Day,Rain,Bad lighting"
32,10017090168044687777_6380_000_6400_000,1550083479648989,2,"Day,Clear,Bad lighting"
33,10017090168044687777_6380_000_6400_000,1550083480049065,0,"Day,Clear,Bad lighting"
34,10017090168044687777_6380_000_6400_000,1550083480049065,1,"Day,Rain,Bad lighting"
35,10017090168044687777_6380_000_6400_000,1550083480049065,2,"Day,Clear,Bad lighting"
36,10017090168044687777_6380_000_6400_000,1550083480249090,0,"Day,Rain,Bad lighting"
37,10017090168044687777_6380_000_6400_000,1550083480249090,1,"Day,Clear,Bad lighting"
38,10017090168044687777_6380_000_6400_000,1550083480249090,2,"Day,Clear,Bad lighting"
39,10017090168044687777_6380_000_6400_000,1550083480449172,0,"Day,Clear,Bad lighting"
40,10017090168044687777_6380_000_6400_000,1550083480449172,1,"Day,Rain,Bad lighting"
41,10017090168044687777_6380_000_6400_000,1550083480449172,2,"Day,Clear,Bad lighting"
42,10017090168044687777_6380_000_6400_000,1550083480849177,0,"Day,Snow,Bad lighting"
43,10017090168044687777_6380_000_6400_000,1550083480849177,1,"Day,Rain,Bad lighting"
44,10017090168044687777_6380_000_6400_000,1550083480849177,2,"Day,Rain,Bad lighting"
45,10017090168044687777_6380_000_6400_000,1550083484648835,0,"Day,Snow,Bad lighting"
46,10017090168044687777_6380_000_6400_000,1550083484648835,1,"Day,Clear,Bad lighting"
47,10017090168044687777_6380_000_6400_000,1550083484648835,2,"Day,Rain,Bad lighting"
48,10017090168044687777_6380_000_6400_000,1550083485048877,0,"Day,Snow,Bad lighting"
49,10017090168044687777_6380_000_6400_000,1550083485048877,1,"Day,Clear,Bad lighting"
50,10017090168044687777_6380_000_6400_000,1550083485048877,2,"Day,Rain,Bad lighting"
51,10017090168044687777_6380_000_6400_000,1550083485248890,0,"Day,Snow,Bad lighting"
52,10017090168044687777_6380_000_6400_000,1550083485248890,1,"Day,Snow,Bad lighting"
53,10017090168044687777_6380_000_6400_000,1550083485248890,2,"Day,Snow,Bad lighting"
54,10017090168044687777_6380_000_6400_000,1550083485448845,0,"Day,Snow,Bad lighting"
55,10017090168044687777_6380_000_6400_000,1550083485448845,1,"Day,Snow,Bad lighting"
56,10017090168044687777_6380_000_6400_000,1550083485448845,2,"Day,Clear,Bad lighting"
57,10017090168044687777_6380_000_6400_000,1550083485848817,0,"Day,Snow,Bad lighting"
58,10017090168044687777_6380_000_6400_000,1550083485848817,1,"Day,Rain,Bad lighting"
59,10017090168044687777_6380_000_6400_000,1550083485848817,2,"Day,Snow,Bad lighting"
60,10023947602400723454_1120_000_1140_000,1552440197761529,0,"Day,Clear,Bad lighting"
61,10023947602400723454_1120_000_1140_000,1552440197761529,1,"Day,Clear,Bad lighting"
62,10023947602400723454_1120_000_1140_000,1552440197761529,2,"Day,Clear,Bad lighting"
63,10023947602400723454_1120_000_1140_000,1552440198161543,0,"Day,Clear,Bad lighting"
64,10023947602400723454_1120_000_1140_000,1552440198161543,1,"Day,Rain,Bad lighting"
