image_index,context_name,context_frame,camera_id,condition
0,10017090168044687777_6380_000_6400_000,1550083469645130,0,"Day,Rainy"
1,10017090168044687777_6380_000_6400_000,1550083469645130,1,"Day,Rainy"
2,10017090168044687777_6380_000_6400_000,1550083469645130,2,"Day,Rainy"
3,10017090168044687777_6380_000_6400_000,1550083470045260,0,"Day,Rainy"
4,10017090168044687777_6380_000_6400_000,1550083470045260,1,"Day,Rainy"
5,10017090168044687777_6380_000_6400_000,1550083470045260,2,"Day,Rainy"
6,10017090168044687777_6380_000_6400_000,1550083470245288,0,"Day,Rainy"
7,10017090168044687777_6380_000_6400_000,1550083470245288,1,"Day,Rainy"
8,10017090168044687777_6380_000_6400_000,1550083470245288,2,"Day,Rainy"
9,10017090168044687777_6380_000_6400_000,1550083470445324,0,"Day,Rainy"
10,10017090168044687777_6380_000_6400_000,1550083470445324,1,"Day,Rainy"
11,10017090168044687777_6380_000_6400_000,1550083470445324,2,"Day,Rainy"
12,10017090168044687777_6380_000_6400_000,1550083470845389,0,"Day,Rainy"
13,10017090168044687777_6380_000_6400_000,1550083470845389,1,"Day,Rainy"
14,10017090168044687777_6380_000_6400_000,1550083470845389,2,"Day,Rainy"
15,10017090168044687777_6380_000_6400_000,1550083474648906,0,"Day,Rainy"
16,10017090168044687777_6380_000_6400_000,1550083474648906,1,"Day,Rainy"
17,10017090168044687777_6380_000_6400_000,1550083474648906,2,"Day,Rainy"
18,10017090168044687777_6380_000_6400_000,1550083475049006,0,"Day,Rainy"
19,10017090168044687777_6380_000_6400_000,1550083475049006,1,"Day,Rainy"
20,10017090168044687777_6380_000_6400_000,1550083475049006,2,"Day,Rainy"
21,10017090168044687777_6380_000_6400_000,1550083475249048,0,"Day,Rainy"
22,10017090168044687777_6380_000_6400_000,1550083475249048,1,"Day,Rainy"
23,10017090168044687777_6380_000_6400_000,1550083475249048,2,"Day,Rainy"
24,10017090168044687777_6380_000_6400_000,1550083475449087,0,"Day,Rainy"
25,10017090168044687777_6380_000_6400_000,1550083475449087,1,"Day,Rainy"
26,10017090168044687777_6380_000_6400_000,1550083475449087,2,"Day,Rainy"
27,10017090168044687777_6380_000_6400_000,1550083475849035,0,"Day,Rainy"
28,10017090168044687777_6380_000_6400_000,1550083475849035,1,"Day,Rainy"
29,10017090168044687777_6380_000_6400_000,1550083475849035,2,"Day,Rainy"
30,10017090168044687777_6380_000_6400_000,1550083479648989,0,"Day,Rainy"
31,10017090168044687777_6380_000_6400_000,1550083479648989,1,"Day,Rainy"
32,10017090168044687777_6380_000_6400_000,1550083479648989,2,"Day,Rainy"
33,10017090168044687777_6380_000_6400_000,1550083480049065,0,"Day,Rainy"
34,10017090168044687777_6380_000_6400_000,1550083480049065,1,"Day,Rainy"
35,10017090168044687777_6380_000_6400_000,1550083480049065,2,"Day,Rainy"
36,10017090168044687777_6380_000_6400_000,1550083480249090,0,"Day,Rainy"
37,10017090168044687777_6380_000_6400_000,1550083480249090,1,"Day,Rainy"
38,10017090168044687777_6380_000_6400_000,1550083480249090,2,"Day,Rainy"
39,10017090168044687777_6380_000_6400_000,1550083480449172,0,"Day,Rainy"
40,10017090168044687777_6380_000_6400_000,1550083480449172,1,"Day,Rainy"
41,10017090168044687777_6380_000_6400_000,1550083480449172,2,"Day,Rainy"
