context_name,context_frame,camera_id,image_index,condition
1024360143612057520_3580_000_3600_000,1553735853462203,0,0,"Day,Clear"
1024360143612057520_3580_000_3600_000,1553735853462203,1,1,"Day,Clear"
1024360143612057520_3580_000_3600_000,1553735853462203,2,2,"Day,Rainy"
1024360143612057520_3580_000_3600_000,1553735853662172,0,3,"Day,Clear"
1024360143612057520_3580_000_3600_000,1553735853662172,1,4,"Day,Clear"
1024360143612057520_3580_000_3600_000,1553735853662172,2,5,"Day,Rainy"
1024360143612057520_3580_000_3600_000,1553735853862138,0,6,"Day,Clear"
1024360143612057520_3580_000_3600_000,1553735853862138,1,7,"Day,Clear"
1024360143612057520_3580_000_3600_000,1553735853862138,2,8,"Day,Clear"
1024360143612057520_3580_000_3600_000,1553735854062107,0,9,"Day,Clear"
1024360143612057520_3580_000_3600_000,1553735854062107,1,10,"Day,Rainy"
1024360143612057520_3580_000_3600_000,1553735854062107,2,11,"Day,Rainy"
1024360143612057520_3580_000_3600_000,1553735854262120,0,12,"Day,Clear"
1024360143612057520_3580_000_3600_000,1553735854262120,1,13,"Day,Clear"
1024360143612057520_3580_000_3600_000,1553735854262120,2,14,"Day,Clear"
1024360143612057520_3580_000_3600_000,1553735854462129,0,15,"Day,Clear"
1024360143612057520_3580_000_3600_000,1553735854462129,1,16,"Day,Clear"
1024360143612057520_3580_000_3600_000,1553735854462129,2,17,"Day,Rainy"
1024360143612057520_3580_000_3600_000,1553735854662125,0,18,"Day,Clear"
1024360143612057520_3580_000_3600_000,1553735854662125,1,19,"Day,Clear"
1024360143612057520_3580_000_3600_000,1553735854662125,2,20,"Day,Rainy"
1024360143612057520_3580_000_3600_000,1553735854862102,0,21,"Day,Clear"
1024360143612057520_3580_000_3600_000,1553735854862102,1,22,"Day,Clear"
1024360143612057520_3580_000_3600_000,1553735854862102,2,23,"Day,Rainy"
1024360143612057520_3580_000_3600_000,1553735855062125,0,24,"Day,Clear"
1024360143612057520_3580_000_3600_000,1553735855062125,1,25,"Day,Clear"
1024360143612057520_3580_000_3600_000,1553735855062125,2,26,"Day,Rainy"
1024360143612057520_3580_000_3600_000,1553735855262132,0,27,"Day,Clear"
1024360143612057520_3580_000_3600_000,1553735855262132,1,28,"Day,Clear"
1024360143612057520_3580_000_3600_000,1553735855262132,2,29,"Day,Clear"
1024360143612057520_3580_000_3600_000,1553735855462137,0,30,"Day,Clear"
1024360143612057520_3580_000_3600_000,1553735855462137,1,31,"Day,Clear"
1024360143612057520_3580_000_3600_000,1553735855462137,2,32,"Day,Clear"
1024360143612057520_3580_000_3600_000,1553735855662151,0,33,"Day,Clear"
1024360143612057520_3580_000_3600_000,1553735855662151,1,34,"Day,Clear"
1024360143612057520_3580_000_3600_000,1553735855662151,2,35,"Day,Rainy"
1024360143612057520_3580_000_3600_000,1553735855862155,0,36,"Day,Clear"
1024360143612057520_3580_000_3600_000,1553735855862155,1,37,"Day,Clear"
1024360143612057520_3580_000_3600_000,1553735855862155,2,38,"Day,Clear"
1024360143612057520_3580_000_3600_000,1553735856062161,0,39,"Day,Clear"
1024360143612057520_3580_000_3600_000,1553735856062161,1,40,"Day,Clear"
1024360143612057520_3580_000_3600_000,1553735856062161,2,41,"Day,Clear"
1024360143612057520_3580_000_3600_000,1553735856262175,0,42,"Day,Clear"
1024360143612057520_3580_000_3600_000,1553735856262175,1,43,"Day,Clear"
1024360143612057520_3580_000_3600_000,1553735856262175,2,44,"Day,Clear"
1024360143612057520_3580_000_3600_000,1553735856462220,0,45,"Day,Clear"
1024360143612057520_3580_000_3600_000,1553735856462220,1,46,"Day,Clear"
1024360143612057520_3580_000_3600_000,1553735856462220,2,47,"Day,Clear"
1024360143612057520_3580_000_3600_000,1553735856662231,0,48,"Day,Clear"
1024360143612057520_3580_000_3600_000,1553735856662231,1,49,"Day,Clear"
1024360143612057520_3580_000_3600_000,1553735856662231,2,50,"Day,Clear"
1024360143612057520_3580_000_3600_000,1553735856862238,0,51,"Day,Clear"
1024360143612057520_3580_000_3600_000,1553735856862238,1,52,"Day,Clear"
1024360143612057520_3580_000_3600_000,1553735856862238,2,53,"Day,Clear"
