context_name,context_frame,camera_id,image_index,condition
10017090168044687777_6380_000_6400_000,1550083469645130,0,0,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083469645130,1,1,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083469645130,2,2,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083470045260,0,3,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083470045260,1,4,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083470045260,2,5,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083470245288,0,6,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083470245288,1,7,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083470245288,2,8,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083470445324,0,9,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083470445324,1,10,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083470445324,2,11,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083470845389,0,12,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083470845389,1,13,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083470845389,2,14,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083474648906,0,15,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083474648906,1,16,"Day,Foggy"
10017090168044687777_6380_000_6400_000,1550083474648906,2,17,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083475049006,0,18,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083475049006,1,19,"Day,Foggy"
10017090168044687777_6380_000_6400_000,1550083475049006,2,20,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083475249048,0,21,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083475249048,1,22,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083475249048,2,23,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083475449087,0,24,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083475449087,1,25,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083475449087,2,26,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083475849035,0,27,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083475849035,1,28,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083475849035,2,29,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083479648989,0,30,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083479648989,1,31,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083479648989,2,32,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083480049065,0,33,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083480049065,1,34,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083480049065,2,35,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083480249090,0,36,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083480249090,1,37,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083480249090,2,38,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083480449172,0,39,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083480449172,1,40,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083480449172,2,41,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083480849177,0,42,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083480849177,1,43,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083480849177,2,44,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083484648835,0,45,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083484648835,1,46,"Day,Snowy"
10017090168044687777_6380_000_6400_000,1550083484648835,2,47,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083485048877,0,48,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083485048877,1,49,"Day,Clear"
10017090168044687777_6380_000_6400_000,1550083485048877,2,50,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083485248890,0,51,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083485248890,1,52,"Day,Snowy"
10017090168044687777_6380_000_6400_000,1550083485248890,2,53,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083485448845,0,54,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083485448845,1,55,"Day,Clear"
10017090168044687777_6380_000_6400_000,1550083485448845,2,56,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083485848817,0,57,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083485848817,1,58,"Day,Rainy"
10017090168044687777_6380_000_6400_000,1550083485848817,2,59,"Day,Rainy"
10023947602400723454_1120_000_1140_000,1552440197761529,0,60,"Day,Clear"
10023947602400723454_1120_000_1140_000,1552440197761529,1,61,"Day,Rainy"
10023947602400723454_1120_000_1140_000,1552440197761529,2,62,"Day,Clear"
10023947602400723454_1120_000_1140_000,1552440198161543,0,63,"Day,Clear"
10023947602400723454_1120_000_1140_000,1552440198161543,1,64,"Day,Rainy"
10023947602400723454_1120_000_1140_000,1552440198161543,2,65,"Day,Rainy"
10023947602400723454_1120_000_1140_000,1552440198361627,0,66,"Day,Rainy"
10023947602400723454_1120_000_1140_000,1552440198361627,1,67,"Day,Rainy"
10023947602400723454_1120_000_1140_000,1552440198361627,2,68,"Day,Clear"
10023947602400723454_1120_000_1140_000,1552440198561742,0,69,"Day,Clear"
10023947602400723454_1120_000_1140_000,1552440198561742,1,70,"Day,Rainy"
10023947602400723454_1120_000_1140_000,1552440198561742,2,71,"Day,Clear"
10023947602400723454_1120_000_1140_000,1552440198962023,0,72,"Day,Clear"
10023947602400723454_1120_000_1140_000,1552440198962023,1,73,"Day,Rainy"
10023947602400723454_1120_000_1140_000,1552440198962023,2,74,"Day,Clear"
10023947602400723454_1120_000_1140_000,1552440202762508,0,75,"Day,Clear"
10023947602400723454_1120_000_1140_000,1552440202762508,1,76,"Day,Rainy"
10023947602400723454_1120_000_1140_000,1552440202762508,2,77,"Day,Rainy"
10023947602400723454_1120_000_1140_000,1552440203162558,0,78,"Day,Clear"
10023947602400723454_1120_000_1140_000,1552440203162558,1,79,"Day,Rainy"
10023947602400723454_1120_000_1140_000,1552440203162558,2,80,"Day,Rainy"
10023947602400723454_1120_000_1140_000,1552440203362569,0,81,"Day,Clear"
10023947602400723454_1120_000_1140_000,1552440203362569,1,82,"Day,Rainy"
10023947602400723454_1120_000_1140_000,1552440203362569,2,83,"Day,Rainy"
10023947602400723454_1120_000_1140_000,1552440203562534,0,84,"Day,Clear"
10023947602400723454_1120_000_1140_000,1552440203562534,1,85,"Day,Rainy"
10023947602400723454_1120_000_1140_000,1552440203562534,2,86,"Day,Rainy"
10023947602400723454_1120_000_1140_000,1552440203962552,0,87,"Day,Clear"
